STT,"Tên tỉnh, thành phố",Tổng GRDP (tỉ USD)
1,Hồ Chí Minh,63.65
2,Hà Nội,51.39
3,Bình Dương,19.28
4,Đồng Nai,18.35
5,Bà Rịa Vũng Tàu,16.79
6,Hải Phòng,15.97
7,Quảng Ninh,11.55
8,Thanh Hóa,10.91
9,Bắc Ninh,11.11
10,Nghệ An,8.01
11,Hải Dương,7.36
12,Long An,6.74
13,Bắc Giang,6.68
14,Vĩnh Phúc,6.62
15,Thái Nguyên,6.43
16,Hưng Yên,5.72
17,Đà Nẵng,5.42
18,Quảng Ngãi,5.29
19,Quảng Nam,5.06
20,Kiên Giang,5.05
21,Tiền Giang,5.02
22,Thái Bình,4.80
23,Đắk Lắk,4.68
24,Cần Thơ,4.65
25,Gia Lai,4.54
26,Bình Định,4.61
27,Lâm Đồng,4.45
28,An Giang,4.68
29,Tây Ninh,4.40
30,Đồng Tháp,4.36
31,Bình Thuận,4.17
32,Khánh Hòa,4.20
33,Nam Định,4.00
34,Hà Tĩnh,4.12
35,Phú Thọ,3.83
36,Bình Phước,3.76
37,Ninh Bình,3.52
38,Hà Nam,3.53
39,Cà Mau,3.19
40,Trà Vinh,3.14
41,Vĩnh Long,3.08
42,Lào Cai,2.96
43,Thừa Thiên Huế,2.85
44,Sóc Trăng,2.83
45,Sơn La,2.78
46,Bến Tre,2.74
47,Hòa Bình,2.48
48,Bạc Liêu,2.39
49,Phú Yên,2.18
50,Quảng Bình,2.16
51,Hậu Giang,2.07
52,Ninh Thuận,1.98
53,Tuyên Quang,1.79
54,Lạng Sơn,1.75
55,Quảng Trị,1.76
56,Yên Bái,1.73
57,Đắk Nông,1.72
58,Hà Giang,1.31
59,Kon Tum,1.31
60,Điện Biên,1.09
61,Lai Châu,1.03
62,Cao Bằng,0.94
63,Bắc Kạn,0.65
